open_time,open,high,low,price_usdt,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,price_brl
2023-09-29 03:00:00,1.512,1.521,1.512,1.521,49610.69,2023-09-29 03:59:59.999,75238.76578,338,40669.1,61677.01593,0,8.322912
2023-09-29 04:00:00,1.521,1.531,1.513,1.527,51278.94,2023-09-29 04:59:59.999,78109.30371,303,34687.71,52834.87791,0,8.355744
2023-09-29 05:00:00,1.527,1.533,1.527,1.53,72108.96,2023-09-29 05:59:59.999,110293.13799,291,53384.85,81668.12446,0,8.372160000000001
2023-09-29 06:00:00,1.53,1.537,1.526,1.536,93559.75,2023-09-29 06:59:59.999,143379.48831,485,56968.51,87332.12719,0,8.404992
2023-09-29 07:00:00,1.536,1.551,1.533,1.55,220473.71,2023-09-29 07:59:59.999,340367.13665,974,147608.86,227984.37876,0,8.4816
2023-09-29 08:00:00,1.551,1.552,1.534,1.534,123338.11,2023-09-29 08:59:59.999,189963.06242,569,35840.93,55208.06652,0,8.394048000000002
2023-09-29 09:00:00,1.534,1.541,1.532,1.534,94164.16,2023-09-29 09:59:59.999,144680.68252,620,44412.28,68260.47785,0,8.394048000000002
2023-09-29 10:00:00,1.535,1.539,1.531,1.532,69942.89,2023-09-29 10:59:59.999,107348.93822,359,42518.49,65270.61244,0,8.383104000000001
2023-09-29 11:00:00,1.532,1.535,1.526,1.527,127234.94,2023-09-29 11:59:59.999,194847.1657,566,54468.99,83412.63695,0,8.355744
2023-09-29 12:00:00,1.527,1.537,1.519,1.53,185211.91,2023-09-29 12:59:59.999,283053.97591,865,113809.11,174018.59019,0,8.372160000000001
2023-09-29 13:00:00,1.53,1.535,1.528,1.53,107614.12,2023-09-29 13:59:59.999,164735.48563,537,52282.14,80034.44833,0,8.372160000000001
2023-09-29 14:00:00,1.531,1.544,1.513,1.538,315168.09,2023-09-29 14:59:59.999,481895.02229,1751,153534.04,234970.40282,0,8.415936
2023-09-29 15:00:00,1.537,1.541,1.534,1.537,102711.61,2023-09-29 15:59:59.999,157980.51805,537,40396.86,62161.44369,0,8.410464000000001
2023-09-29 16:00:00,1.537,1.537,1.522,1.528,153620.09,2023-09-29 16:59:59.999,234670.26005,671,57345.06,87566.96649,0,8.361216
2023-09-29 17:00:00,1.528,1.531,1.524,1.526,45413.65,2023-09-29 17:59:59.999,69330.65728,272,22674.61,34624.51146,0,8.350272
2023-09-29 18:00:00,1.526,1.541,1.519,1.538,112696.22,2023-09-29 18:59:59.999,172917.47665,572,73055.22,112197.91525,0,8.415936
2023-09-29 19:00:00,1.539,1.539,1.532,1.533,65007.91,2023-09-29 19:59:59.999,99821.6922,410,21689.61,33297.36548,0,8.388576
2023-09-29 20:00:00,1.533,1.54,1.529,1.539,34006.73,2023-09-29 20:59:59.999,52174.1559,290,19446.81,29841.84386,0,8.421408
2023-09-29 21:00:00,1.539,1.542,1.535,1.536,38875.34,2023-09-29 21:59:59.999,59823.42268,308,23138.97,35620.89213,0,8.404992
2023-09-29 22:00:00,1.537,1.543,1.536,1.538,20129.24,2023-09-29 22:59:59.999,30981.83695,189,11409.85,17559.38331,0,8.415936
2023-09-29 23:00:00,1.538,1.542,1.537,1.539,30785.94,2023-09-29 23:59:59.999,47394.24393,224,10709.89,16495.28114,0,8.421408
2023-09-30 00:00:00,1.538,1.547,1.53,1.545,180355.92,2023-09-30 00:59:59.999,277235.83833,699,104976.95,161299.6367,0,8.45424
2023-09-30 01:00:00,1.545,1.547,1.534,1.535,64279.15,2023-09-30 01:59:59.999,99050.41452,323,38651.05,59585.75308,0,8.39952
2023-09-30 02:00:00,1.534,1.535,1.53,1.534,37484.33,2023-09-30 02:59:59.999,57424.75994,228,15607.94,23921.5693,0,8.394048000000002
2023-09-30 03:00:00,1.534,1.539,1.527,1.529,105168.39,2023-09-30 03:59:59.999,161085.46838,404,23211.74,35553.35183,0,8.366688
2023-09-30 04:00:00,1.528,1.536,1.528,1.53,58962.36,2023-09-30 04:59:59.999,90333.26274,246,23390.26,35804.62753,0,8.372160000000001
